# 2024/03/09 - 07:21 | PDB: 10.24 | UniProt: 2024.02
PDB,CHAIN,ACCESSION,EC_NUMBER
4xkb,A,P72583,?
4xkc,A,P72583,?
4xkd,A,A0A0J9X268,?
4xkd,B,A0A0J9X267,?
4xkd,C,A0A0J9X268,?
4xkd,D,A0A0J9X267,?
4xkd,E,A0A0J9X268,?
4xkd,F,A0A0J9X267,?
4xke,A,A0A0J9X268,?
4xke,B,A0A0J9X267,?
4xke,C,A0A0J9X268,?
4xke,D,A0A0J9X267,?
4xke,E,A0A0J9X268,?
4xke,F,A0A0J9X267,?
4xkf,A,A0A0J9X268,?
4xkf,B,A0A0J9X267,?
4xkf,C,A0A0J9X268,?
4xkf,D,A0A0J9X267,?
4xkf,E,A0A0J9X268,?
4xkf,F,A0A0J9X267,?
4xkg,A,A0A0J9X268,?
4xkg,B,A0A0J9X267,?
4xkg,C,A0A0J9X268,?
4xkg,D,A0A0J9X267,?
4xkg,E,A0A0J9X268,?
4xkg,F,A0A0J9X267,?
4xkh,A,P0CH28,?
4xkh,B,P0CH28,?
4xkh,C,Q91X58,?
4xkh,D,P0CH28,?
4xkh,E,Q91X58,?
4xkh,F,P0CH28,?
4xkh,G,P0CH28,?
4xkh,H,Q91X58,?
4xkh,I,P0CH28,?
4xki,A,P05230,?
4xki,B,P05230,?
4xkj,A,A0A0M3KL04,?
4xkj,B,A0A0M3KL04,?
4xkk,A,P54651,?
4xkl,A,P62987,?
4xkl,B,Q13137,?
4xkl,C,P62987,?
4xkl,D,Q13137,?
4xkm,A,Q8A9M2,5.3.1.5
4xkm,B,Q8A9M2,5.3.1.5
4xkm,C,Q8A9M2,5.3.1.5
4xkm,D,Q8A9M2,5.3.1.5
4xkm,E,Q8A9M2,5.3.1.5
4xkm,F,Q8A9M2,5.3.1.5
4xkm,G,Q8A9M2,5.3.1.5
4xkm,H,Q8A9M2,5.3.1.5
4xkn,A,Q2G2P5,?
4xko,A,P54651,?
4xkp,A,Q2G2P5,?
4xkq,A,Q2G2P5,?
4xkr,A,Q2G2P5,?
4xks,A,P0ABD3,1.16.3.1
4xks,B,P0ABD3,1.16.3.1
4xks,C,P0ABD3,1.16.3.1
4xks,D,P0ABD3,1.16.3.1
4xks,E,P0ABD3,1.16.3.1
4xks,F,P0ABD3,1.16.3.1
4xks,G,P0ABD3,1.16.3.1
4xks,H,P0ABD3,1.16.3.1
4xks,I,P0ABD3,1.16.3.1
4xks,J,P0ABD3,1.16.3.1
4xks,K,P0ABD3,1.16.3.1
4xks,L,P0ABD3,1.16.3.1
4xkt,A,P0ABD3,1.16.3.1
4xkt,B,P0ABD3,1.16.3.1
4xkt,C,P0ABD3,1.16.3.1
4xkt,D,P0ABD3,1.16.3.1
4xkt,E,P0ABD3,1.16.3.1
4xkt,F,P0ABD3,1.16.3.1
4xkt,G,P0ABD3,1.16.3.1
4xkt,H,P0ABD3,1.16.3.1
4xkt,I,P0ABD3,1.16.3.1
4xkt,J,P0ABD3,1.16.3.1
4xkt,K,P0ABD3,1.16.3.1
4xkt,L,P0ABD3,1.16.3.1
4xku,A,P0ABD3,1.16.3.1
4xku,B,P0ABD3,1.16.3.1
4xku,C,P0ABD3,1.16.3.1
4xku,D,P0ABD3,1.16.3.1
4xku,E,P0ABD3,1.16.3.1
4xku,F,P0ABD3,1.16.3.1
4xku,G,P0ABD3,1.16.3.1
4xku,H,P0ABD3,1.16.3.1
4xku,I,P0ABD3,1.16.3.1
4xku,J,P0ABD3,1.16.3.1
4xku,K,P0ABD3,1.16.3.1
4xku,L,P0ABD3,1.16.3.1
4xkv,A,Q9AYY6,?
4xkw,A,Q9AYY6,?
4xkx,A,P56817,3.4.23.46
4xky,A,Q8A3Z0,?
4xky,B,Q8A3Z0,?
4xky,C,Q8A3Z0,?
4xky,D,Q8A3Z0,?
4xkz,A,Q9HXH0,6.1.1.9
4xl1,A,Q07008,?
4xl1,B,D3ZHH1,?
4xl1,D,Q07008,?
4xl1,E,D3ZHH1,?
4xl2,A,P45359,2.3.1.9
4xl2,B,P45359,2.3.1.9
4xl3,A,A0A0R4I970,2.3.1.9
4xl3,B,A0A0R4I970,2.3.1.9
4xl4,A,A0A0R4I970,2.3.1.9
4xl4,B,A0A0R4I970,2.3.1.9
4xl5,A,P42212,?
4xl8,A,A0MK70,?
4xl8,B,A0MK70,?
4xl8,C,A0MK70,?
4xl9,A,Q9AYY6,?
4xla,A,Q9AYY6,?
4xlc,A,Q9AYY6,?
4xld,A,P37231,?
4xle,A,Q9AYY6,?
4xlf,A,Q9AYY6,?
4xlg,A,Q6FML9,3.1.-.-
4xlg,B,Q6FJQ6,?
4xlh,A,Q9AYY6,?
4xli,A,Q4JIM5,2.7.10.2
4xli,B,Q4JIM5,2.7.10.2
4xll,A,B9PZH8,?
4xll,B,B9PZH8,?
4xln,A,Q9KWU8,2.7.7.6
4xln,B,Q9KWU8,2.7.7.6
4xln,C,Q9KWU7,2.7.7.6
4xln,D,Q9KWU6,2.7.7.6
4xln,E,Q9EVV4,2.7.7.6
4xln,F,Q9EZJ8,?
4xln,G,Q9KWU8,2.7.7.6
4xln,H,Q9KWU8,2.7.7.6
4xln,I,Q9KWU7,2.7.7.6
4xln,J,Q9KWU6,2.7.7.6
4xln,K,Q9EVV4,2.7.7.6
4xln,L,Q9EZJ8,?
4xlo,A,Q9KHK2,?
4xlo,B,Q9KHK2,?
4xlo,C,Q9KHK2,?
4xlo,D,Q9KHK2,?
4xlp,A,Q9KWU8,2.7.7.6
4xlp,B,Q9KWU8,2.7.7.6
4xlp,C,Q9KWU7,2.7.7.6
4xlp,D,Q9KWU6,2.7.7.6
4xlp,E,Q9EVV4,2.7.7.6
4xlp,F,Q9EZJ8,?
4xlp,G,Q9KWU8,2.7.7.6
4xlp,H,Q9KWU8,2.7.7.6
4xlp,I,Q9KWU7,2.7.7.6
4xlp,J,Q9KWU6,2.7.7.6
4xlp,K,Q9EVV4,2.7.7.6
4xlp,L,Q9EZJ8,?
4xlq,A,Q9KWU8,2.7.7.6
4xlq,B,Q9KWU8,2.7.7.6
4xlq,C,Q9KWU7,2.7.7.6
4xlq,D,Q9KWU6,2.7.7.6
4xlq,E,Q9EVV4,2.7.7.6
4xlq,F,Q9EZJ8,?
4xlq,G,Q9KWU8,2.7.7.6
4xlq,H,Q9KWU8,2.7.7.6
4xlq,I,Q9KWU7,2.7.7.6
4xlq,J,Q9KWU6,2.7.7.6
4xlq,K,Q9EVV4,2.7.7.6
4xlq,L,Q9EZJ8,?
4xlr,A,Q9KWU8,2.7.7.6
4xlr,B,Q9KWU8,2.7.7.6
4xlr,C,Q9KWU7,2.7.7.6
4xlr,D,Q9KWU6,2.7.7.6
4xlr,E,Q9EVV4,2.7.7.6
4xlr,F,Q9EZJ8,?
4xlr,G,Q9KWU8,2.7.7.6
4xlr,H,Q9KWU8,2.7.7.6
4xlr,I,Q9KWU7,2.7.7.6
4xlr,J,Q9KWU6,2.7.7.6
4xlr,K,Q9EVV4,2.7.7.6
4xlr,L,Q9EZJ8,?
4xlr,M,H9ZP94,?
4xlr,N,H9ZP94,?
4xls,A,Q9KWU8,2.7.7.6
4xls,B,Q9KWU8,2.7.7.6
4xls,C,Q9KWU7,2.7.7.6
4xls,D,Q9KWU6,2.7.7.6
4xls,E,Q9EVV4,2.7.7.6
4xls,F,Q9EZJ8,?
4xls,G,Q9KWU8,2.7.7.6
4xls,H,Q9KWU8,2.7.7.6
4xls,I,Q9KWU7,2.7.7.6
4xls,J,Q9KWU6,2.7.7.6
4xls,K,Q9EVV4,2.7.7.6
4xls,L,Q9EZJ8,?
4xls,M,H9ZP94,?
4xls,N,H9ZP94,?
4xlt,A,C6VVW9,?
4xlv,A,P06213,2.7.10.1
4xlw,A,Q07008,?
4xlw,B,D3ZHH1,?
4xlw,C,Q07008,?
4xlw,D,D3ZHH1,?
4xlw,E,Q07008,?
4xlw,F,D3ZHH1,?
4xlw,G,Q07008,?
4xlw,H,D3ZHH1,?
4xlx,A,Q45222,?
4xlx,B,Q45222,?
4xlx,C,Q45222,?
4xlx,D,Q45222,?
4xly,A,Q45222,?
4xly,B,Q45222,?
4xlz,A,Q8U3V1,?
4xlz,B,Q8U3V1,?
4xlz,C,Q8U3V1,?
4xlz,D,Q8U3V1,?
4xlz,E,Q8U3V1,?
4xlz,F,Q8U3V1,?
4xm0,A,Q8U3V1,?
4xm0,B,Q8U3V1,?
4xm0,C,Q8U3V1,?
4xm0,D,Q8U3V1,?
4xm0,E,Q8U3V1,?
4xm0,F,Q8U3V1,?
4xm1,A,Q8U3V1,?
4xm1,B,Q8U3V1,?
4xm1,C,Q8U3V1,?
4xm1,D,Q8U3V1,?
4xm1,E,Q8U3V1,?
4xm1,F,Q8U3V1,?
4xm2,A,Q8U3V1,?
4xm2,B,Q8U3V1,?
4xm2,C,Q8U3V1,?
4xm2,D,Q8U3V1,?
4xm2,E,Q8U3V1,?
4xm2,F,Q8U3V1,?
4xm3,A,Q9AYY6,?
4xm4,A,G0SET4,?
4xm4,B,G0SET4,?
4xm4,C,G0SET4,?
4xm4,D,G0SET4,?
4xm5,A,Q6FML9,3.1.-.-
4xm6,A,P15917,3.4.24.83
4xm7,A,P15917,3.4.24.83
4xm8,A,P15917,3.4.24.83
4xma,A,Q54727,3.2.1.18
4xmb,A,Q14145,?
4xmc,A,Q6PQK2,1.7.6.1
4xmd,A,Q6PQK2,1.7.6.1
4xme,A,Q6PQK2,1.7.6.1
4xmf,A,Q6PQK2,1.7.6.1
4xmg,A,Q6PQK2,1.7.6.1
4xmh,A,Q6PQK2,1.7.6.1
4xmi,A,Q54727,3.2.1.18
4xmk,P,P05877,?
4xmk,Q,P05877,?
4xmk,R,P05877,?
4xmm,A,Q04491,?
4xmm,B,P49687,3.4.21.-
4xmm,C,P53011,?
4xmm,D,P46673,?
4xmm,E,P35729,?
4xmm,F,P52891,?
4xmn,A,Q04491,?
4xmn,B,P49687,3.4.21.-
4xmn,D,P46673,?
4xmn,E,P35729,?
4xmn,F,P52891,?
4xmo,A,P08581,2.7.10.1
4xmp,G,Q8JDI3,?
4xmp,H,P01857,?
4xmp,L,P01834,?
4xmq,A,Q0P864,?
4xmq,B,Q0P864,?
4xmr,A,Q0P864,?
4xmr,B,Q0P864,?
4xmt,A,P04825,3.4.11.2
4xmu,A,P04825,3.4.11.2
4xmv,A,P04825,3.4.11.2
4xmw,A,P04825,3.4.11.2
4xmx,A,P04825,3.4.11.2
4xmy,A,Q9AYY6,?
4xmz,A,P04825,3.4.11.2
4xn0,A,Q9AYY6,?
4xn1,A,P04825,3.4.11.2
4xn2,A,P04825,3.4.11.2
4xn3,A,Q9AYY6,?
4xn4,A,P04825,3.4.11.2
4xn5,A,P04825,3.4.11.2
4xn6,A,P00698,3.2.1.17
4xn7,A,P04825,3.4.11.2
4xn8,A,P04825,3.4.11.2
4xn9,A,P04825,3.4.11.2
4xna,A,P04825,3.4.11.2
4xnb,A,P04825,3.4.11.2
4xnc,A,P30405,5.2.1.8
4xnd,A,P04825,3.4.11.2
4xne,A,P63086,2.7.11.24
4xnf,A,Q9AYY6,?
4xng,A,Q9ZB78,?
4xng,B,Q9ZB78,?
4xng,C,Q9ZB78,?
4xng,D,Q9ZB78,?
4xnh,A,P12945,?
4xnh,B,P07347,2.3.1.255
4xnh,C,Q08689,2.3.1.258
4xnh,F,P01189,?
4xni,A,Q5M4H8,?
4xnj,A,Q5M4H8,?
4xnk,A,P18895,?
4xnl,A,P18895,?
4xnm,C,Q6DQ33,?
4xnm,D,Q6DQ33,?
4xnn,A,E9G5J5,3.2.1.91
4xnn,B,E9G5J5,3.2.1.91
4xnq,C,Q6DQ33,?
4xnq,D,Q6DQ33,?
4xnu,A,Q7K4Y6,?
4xnv,A,P00268,?
4xnv,A,P47900,?
4xnw,A,P00268,?
4xnw,A,P47900,?
4xnw,C,P00268,?
4xnw,C,P47900,?
4xnx,A,Q7K4Y6,?
4xny,G,Q8JDI3,?
4xny,H,P01857,?
4xny,L,P01834,?
4xnz,A,Q0ED31,?
4xnz,B,P01857,?
4xnz,C,P01834,?
4xnz,D,Q0ED31,?
4xnz,E,P01857,?
4xnz,F,P01834,?
4xnz,G,Q0ED31,?
4xnz,H,P01857,?
4xnz,L,P01834,?
4xo0,A,P03355,2.7.7.-
4xo0,A,P03355,2.7.7.49
4xo0,A,P03355,2.7.7.7
4xo0,A,P03355,3.1.-.-
4xo0,A,P03355,3.1.26.4
4xo0,A,P03355,3.4.23.-
4xo1,A,P0AC92,?
4xo2,A,P0AC92,?
4xo2,B,P0AC92,?
4xo3,A,P04825,3.4.11.2
4xo4,A,P04825,3.4.11.2
4xo5,A,P04825,3.4.11.2
4xo6,A,P52895,1.-.-.-
4xo6,A,P52895,1.1.1.112
4xo6,A,P52895,1.1.1.209
4xo6,A,P52895,1.1.1.357
4xo6,A,P52895,1.1.1.53
4xo6,A,P52895,1.1.1.62
4xo6,A,P52895,1.3.1.20
4xo6,B,P52895,1.-.-.-
4xo6,B,P52895,1.1.1.112
4xo6,B,P52895,1.1.1.209
4xo6,B,P52895,1.1.1.357
4xo6,B,P52895,1.1.1.53
4xo6,B,P52895,1.1.1.62
4xo6,B,P52895,1.3.1.20
4xo7,A,P52895,1.-.-.-
4xo7,A,P52895,1.1.1.112
4xo7,A,P52895,1.1.1.209
4xo7,A,P52895,1.1.1.357
4xo7,A,P52895,1.1.1.53
4xo7,A,P52895,1.1.1.62
4xo7,A,P52895,1.3.1.20
4xo7,B,P52895,1.-.-.-
4xo7,B,P52895,1.1.1.112
4xo7,B,P52895,1.1.1.209
4xo7,B,P52895,1.1.1.357
4xo7,B,P52895,1.1.1.53
4xo7,B,P52895,1.1.1.62
4xo7,B,P52895,1.3.1.20
4xo8,A,P08191,?
4xo8,B,P08191,?
4xo9,A,P08191,?
4xo9,B,P08190,?
4xoa,A,P08191,?
4xoa,B,P08190,?
4xoa,C,P08191,?
4xoa,D,P08190,?
4xoa,E,P08191,?
4xoa,F,P08190,?
4xoa,G,P08191,?
4xoa,H,P08190,?
4xob,A,P08191,?
4xob,B,P08189,?
4xob,C,P08191,?
4xob,D,P08189,?
4xob,E,P08191,?
4xob,F,P08189,?
4xob,G,P08191,?
4xob,H,P08189,?
4xod,A,P08191,?
4xod,B,P08190,?
4xoe,B,A0A140UH97,?
4xof,A,P0CG47,?
4xog,A,Q54727,3.2.1.18
4xoh,A,P78953,?
4xoh,B,P78953,?
4xoh,C,P78953,?
4xoi,A,P61586,3.6.5.2
4xoi,B,Q9NQW6,?
4xoi,C,P61586,3.6.5.2
4xoi,D,Q9NQW6,?
4xoj,A,P00760,3.4.21.4
4xoj,B,Q4GWU5,?
4xok,A,P0CG48,?
4xok,B,P0CG48,?
4xok,C,P0CG48,?
4xol,A,P0CG48,?
4xol,B,P0CG48,?
4xom,A,P9WP79,1.3.8.17
4xom,A,P9WP79,6.3.2.31
4xom,A,P9WP79,6.3.2.34
4xom,B,P9WP79,1.3.8.17
4xom,B,P9WP79,6.3.2.31
4xom,B,P9WP79,6.3.2.34
4xom,C,P9WP79,1.3.8.17
4xom,C,P9WP79,6.3.2.31
4xom,C,P9WP79,6.3.2.34
4xom,D,P9WP79,1.3.8.17
4xom,D,P9WP79,6.3.2.31
4xom,D,P9WP79,6.3.2.34
4xon,A,Q9AYY6,?
4xoo,A,P9WP79,1.3.8.17
4xoo,A,P9WP79,6.3.2.31
4xoo,A,P9WP79,6.3.2.34
4xoo,B,P9WP79,1.3.8.17
4xoo,B,P9WP79,6.3.2.31
4xoo,B,P9WP79,6.3.2.34
4xoo,C,P9WP79,1.3.8.17
4xoo,C,P9WP79,6.3.2.31
4xoo,C,P9WP79,6.3.2.34
4xoo,D,P9WP79,1.3.8.17
4xoo,D,P9WP79,6.3.2.31
4xoo,D,P9WP79,6.3.2.34
4xop,A,Q9AYY6,?
4xoq,A,P9WP79,1.3.8.17
4xoq,A,P9WP79,6.3.2.31
4xoq,A,P9WP79,6.3.2.34
4xoq,B,P9WP79,1.3.8.17
4xoq,B,P9WP79,6.3.2.31
4xoq,B,P9WP79,6.3.2.34
4xoq,C,P9WP79,1.3.8.17
4xoq,C,P9WP79,6.3.2.31
4xoq,C,P9WP79,6.3.2.34
4xoq,D,P9WP79,1.3.8.17
4xoq,D,P9WP79,6.3.2.31
4xoq,D,P9WP79,6.3.2.34
4xor,A,Q9AYY6,?
4xos,A,P39687,?
4xos,B,P39687,?
4xot,A,Q9AYY6,?
4xou,A,P04191,7.2.2.10
4xov,A,P42212,?
4xow,A,P42212,?
4xox,A,Q7WUU8,2.3.1.41
4xox,B,Q7WUU8,2.3.1.41
4xoy,A,P63086,2.7.11.24
4xoz,A,P63086,2.7.11.24
4xp0,A,P63086,2.7.11.24
4xp1,A,Q7K4Y6,?
4xp2,A,P63086,2.7.11.24
4xp3,A,P63086,2.7.11.24
4xp4,A,Q7K4Y6,?
4xp5,A,Q7K4Y6,?
4xp6,A,Q7K4Y6,?
4xp7,A,Q9NX74,1.3.1.91
4xp8,A,C7BUG6,?
4xp9,C,Q7K4Y6,?
4xpa,A,Q7K4Y6,?
4xpb,A,Q7K4Y6,?
4xpc,A,P03355,2.7.7.-
4xpc,A,P03355,2.7.7.49
4xpc,A,P03355,2.7.7.7
4xpc,A,P03355,3.1.-.-
4xpc,A,P03355,3.1.26.4
4xpc,A,P03355,3.4.23.-
4xpd,A,P12945,?
4xpd,B,P07347,2.3.1.255
4xpd,C,Q08689,2.3.1.258
4xpd,F,P01189,?
4xpe,A,P03355,2.7.7.-
4xpe,A,P03355,2.7.7.49
4xpe,A,P03355,2.7.7.7
4xpe,A,P03355,3.1.-.-
4xpe,A,P03355,3.1.26.4
4xpe,A,P03355,3.4.23.-
4xpf,A,Q7K4Y6,?
4xpg,A,Q7K4Y6,?
4xph,A,Q7K4Y6,?
4xpi,A,P07328,1.18.6.1
4xpi,B,P07329,1.18.6.1
4xpi,C,P07328,1.18.6.1
4xpi,D,P07329,1.18.6.1
4xpj,A,P01139,?
4xpj,B,P01139,?
4xpk,A,A0A0J9X276,?
4xpl,A,A0A0J9X276,?
4xpm,A,Q02205,?
4xpm,B,Q3E830,?
4xpm,C,P38247,?
4xpn,A,P62136,3.1.3.16
4xpn,B,O75807,?
4xpn,C,P62136,3.1.3.16
4xpn,D,O75807,?
4xpo,A,A0A0F7R6D6,3.2.1.22
4xpp,A,A0A0F7R6D6,3.2.1.22
4xpq,A,A0A0F7R6D6,3.2.1.22
4xpr,A,A0A0F7R6D6,3.2.1.22
4xps,A,A0A0F7R6D6,3.2.1.22
4xpt,A,Q7K4Y6,?
4xpu,A,B7MIY4,3.1.21.7
4xpu,B,B7MIY4,3.1.21.7
4xpv,A,P36217,3.2.1.8
4xpw,A,Q60AX2,?
4xpx,A,Q60AX2,?
4xpy,A,Q60AX2,?
4xpz,A,Q9P376,3.1.3.16
4xq0,A,Q9P376,3.1.3.16
4xq1,A,Q60AX2,?
4xq2,A,Q8KNG3,?
4xq2,B,Q8KNG3,?
4xq2,C,Q8KNG3,?
4xq2,D,Q8KNG3,?
4xq2,E,Q8KNG3,?
4xq2,F,Q8KNG3,?
4xq2,G,Q8KNG3,?
4xq2,H,Q8KNG3,?
4xq3,A,D0KRQ0,?
4xq3,B,D0KRQ0,?
4xq3,C,D0KRQ0,?
4xq3,D,D0KRQ0,?
4xq3,E,D0KRQ0,?
4xq3,F,D0KRQ0,?
4xq3,G,D0KRQ0,?
4xq4,A,P36217,3.2.1.8
4xq4,B,P36217,3.2.1.8
4xq5,A,A0A059T4A1,?
4xq5,B,A0A059T4A1,?
4xq5,C,A0A059T4A1,?
4xq5,D,A0A059T4A1,?
4xq5,E,A0A059T4A1,?
4xq5,F,A0A059T4A1,?
4xq6,A,P9WHL1,1.3.5.2
4xq6,B,P9WHL1,1.3.5.2
4xq7,A,Q15646,?
4xq8,A,Q9UGP5,2.7.7.7
4xq8,A,Q9UGP5,4.2.99.-
4xq8,B,Q9UGP5,2.7.7.7
4xq8,B,Q9UGP5,4.2.99.-
4xq9,A,O32323,2.5.1.44
4xq9,B,O32323,2.5.1.44
4xqa,A,Q64823,?
4xqa,B,Q64823,?
4xqa,C,Q64823,?
4xqb,A,Q64823,?
4xqb,B,Q64823,?
4xqb,C,Q64823,?
4xqc,A,O32323,2.5.1.44
4xqc,B,O32323,2.5.1.44
4xqd,A,P36217,3.2.1.8
4xqd,B,P36217,3.2.1.8
4xqe,A,O32323,2.5.1.44
4xqe,B,O32323,2.5.1.44
4xqf,A,Q9AYY6,?
4xqg,A,O32323,2.5.1.44
4xqg,B,O32323,2.5.1.44
4xqj,A,Q5HEG2,?
4xqj,D,Q5HEG2,?
4xqk,A,A0A0M3KL05,?
4xqk,B,A0A0M3KL05,?
4xqm,A,Q9USH8,3.2.1.84
4xqn,A,Q5HEG2,?
4xqn,D,Q5HEG2,?
4xqn,G,Q5HEG2,?
4xqn,J,Q5HEG2,?
4xqo,A,A0A059T4A1,?
4xqo,B,A0A059T4A1,?
4xqo,C,A0A059T4A1,?
4xqo,D,A0A059T4A1,?
4xqo,E,A0A059T4A1,?
4xqo,F,A0A059T4A1,?
4xqq,A,Q5HEG2,?
4xqq,B,Q5HEG2,?
4xqq,C,Q5HEG2,?
4xqq,D,Q5HEG2,?
4xqr,F,P14324,2.5.1.1
4xqr,F,P14324,2.5.1.10
4xqs,F,P14324,2.5.1.1
4xqs,F,P14324,2.5.1.10
4xqt,F,P14324,2.5.1.1
4xqt,F,P14324,2.5.1.10
4xqu,A,A0A059T4A1,?
4xqu,B,A0A059T4A1,?
4xqu,C,A0A059T4A1,?
4xqu,D,A0A059T4A1,?
4xqu,E,A0A059T4A1,?
4xqu,F,A0A059T4A1,?
4xqw,A,P36217,3.2.1.8
4xr0,A,P16525,?
4xr1,A,P16525,?
4xr2,A,P16525,?
4xr3,A,P16525,?
4xr4,A,O32323,2.5.1.44
4xr4,B,O32323,2.5.1.44
4xr5,A,Q7CP66,2.4.2.4
4xr5,B,Q7CP66,2.4.2.4
4xr6,A,Q9AYY6,?
4xr7,A,P53010,3.1.13.4
4xr7,B,P36102,?
4xr7,C,P36102,?
4xr7,D,P53010,3.1.13.4
4xr7,E,P36102,?
4xr7,F,P36102,?
4xr7,G,P53010,3.1.13.4
4xr7,H,P36102,?
4xr7,I,P36102,?
4xr7,J,P53010,3.1.13.4
4xr7,K,P36102,?
4xr7,L,P36102,?
4xr8,A,Q05086,2.3.2.26
4xr8,A,P0AEX9,?
4xr8,B,Q05086,2.3.2.26
4xr8,B,P0AEX9,?
4xr8,C,P04637,?
4xr8,D,P04637,?
4xr8,F,P03126,?
4xr8,H,P03126,?
4xr9,A,Q8KNF6,?
4xr9,B,Q8KNF6,?
4xra,A,P0A251,1.11.1.26
4xra,B,P0A251,1.11.1.26
4xra,C,P0A251,1.11.1.26
4xra,D,P0A251,1.11.1.26
4xra,E,P0A251,1.11.1.26
4xrb,A,P71968,?
4xrc,C,Q6DQ33,?
4xrc,D,Q6DQ33,?
4xrd,A,P0A251,1.11.1.26
4xrd,B,P0A251,1.11.1.26
4xrd,C,P0A251,1.11.1.26
4xrd,D,P0A251,1.11.1.26
4xrd,E,P0A251,1.11.1.26
4xre,A,A4ZDL6,?
4xre,B,A4ZDL6,?
4xre,C,A4ZDL6,?
4xre,D,A4ZDL6,?
4xrf,A,Q81HX3,?
4xrg,A,O32323,2.5.1.44
4xrg,B,O32323,2.5.1.44
4xrh,A,Q9UGP5,2.7.7.7
4xrh,A,Q9UGP5,4.2.99.-
4xrh,B,Q9UGP5,2.7.7.7
4xrh,B,Q9UGP5,4.2.99.-
4xri,A,G0S143,?
4xrj,A,P63086,2.7.11.24
4xrk,A,G0S143,?
4xrl,A,P63086,2.7.11.24
4xrm,A,O14770,?
4xrm,B,O14770,?
4xrn,A,Q9HY69,2.4.1.33
4xrn,B,Q9HY69,2.4.1.33
4xrn,C,Q9HY69,2.4.1.33
4xrn,D,Q9HY69,2.4.1.33
4xro,A,P12493,?
4xrp,A,C2M8N3,?
4xrp,B,C2M8N4,?
4xrp,C,C2M7I7,2.1.1.386
4xrp,D,C2M8N3,?
4xrp,E,C2M8N4,?
4xrp,F,C2M7I7,2.1.1.386
4xrq,A,P12493,?
4xrr,A,Q8KNF6,?
4xrr,B,Q8KNF6,?
4xrs,A,O00470,?
4xrs,B,O00470,?
4xrs,G,O60479,?
4xrs,I,O60479,?
4xrt,A,Q2PA00,?
4xrt,B,Q2PA00,?
4xru,A,C2M8N3,?
4xru,B,C2M8N4,?
4xru,C,C2M7I7,2.1.1.386
4xru,D,C2M8N3,?
4xru,E,C2M8N4,?
4xru,F,C2M7I7,2.1.1.386
4xrw,A,D7RFJ9,?
4xrx,A,O75874,1.1.1.42
4xrx,B,O75874,1.1.1.42
4xry,A,P10635,1.14.14.-
4xry,B,P10635,1.14.14.-
4xry,C,P10635,1.14.14.-
4xry,D,P10635,1.14.14.-
4xrz,A,P10635,1.14.14.-
4xrz,B,P10635,1.14.14.-
4xrz,C,P10635,1.14.14.-
4xrz,D,P10635,1.14.14.-
4xs0,A,P69905,?
4xs0,B,P68871,?
4xs0,C,Q2FG07,?
4xs1,A,P0A251,1.11.1.26
4xs1,B,P0A251,1.11.1.26
4xs1,C,P0A251,1.11.1.26
4xs1,D,P0A251,1.11.1.26
4xs1,E,P0A251,1.11.1.26
4xs2,A,Q9NWZ3,2.7.11.1
4xs2,B,Q9NWZ3,2.7.11.1
4xs2,C,Q9NWZ3,2.7.11.1
4xs2,D,Q9NWZ3,2.7.11.1
4xs3,A,O75874,1.1.1.42
4xs3,B,O75874,1.1.1.42
4xs4,A,P0A251,1.11.1.26
4xs4,B,P0A251,1.11.1.26
4xs4,C,P0A251,1.11.1.26
4xs4,D,P0A251,1.11.1.26
4xs4,E,P0A251,1.11.1.26
4xs5,A,C6VVE1,?
4xs5,B,C6VVE1,?
4xs5,C,C6VVE1,?
4xs5,D,C6VVE1,?
4xs6,A,P0A251,1.11.1.26
4xs6,B,P0A251,1.11.1.26
4xs6,C,P0A251,1.11.1.26
4xs6,D,P0A251,1.11.1.26
4xs6,E,P0A251,1.11.1.26
4xs7,A,Q54816,2.3.1.-
4xs7,B,Q54816,2.3.1.-
4xs9,A,Q54816,2.3.1.-
4xs9,B,Q54816,2.3.1.-
4xsa,A,Q54816,2.3.1.-
4xsa,B,Q54816,2.3.1.-
4xsb,A,Q54816,2.3.1.-
4xsb,B,Q54816,2.3.1.-
4xsc,A,Q4JQW2,2.1.1.45
4xsc,B,Q4JQW2,2.1.1.45
4xsc,C,Q4JQW2,2.1.1.45
4xsc,D,Q4JQW2,2.1.1.45
4xsd,A,Q4JQW2,2.1.1.45
4xsd,B,Q4JQW2,2.1.1.45
4xsd,C,Q4JQW2,2.1.1.45
4xsd,D,Q4JQW2,2.1.1.45
4xse,A,Q4JQW2,2.1.1.45
4xse,B,Q4JQW2,2.1.1.45
4xse,C,Q4JQW2,2.1.1.45
4xse,D,Q4JQW2,2.1.1.45
4xsg,A,P61586,3.6.5.2
4xsg,B,Q8KNY0,?
4xsh,A,P61586,3.6.5.2
4xsh,B,Q8KNY0,?
4xsj,A,D9IEF7,3.2.1.17
4xsj,A,Q8NE86,3.2.1.17
4xsk,U,P00749,3.4.21.73
4xsl,A,O50580,5.1.3.31
4xsl,B,O50580,5.1.3.31
4xsl,C,O50580,5.1.3.31
4xsl,D,O50580,5.1.3.31
4xsm,A,O50580,5.1.3.31
4xsm,B,O50580,5.1.3.31
4xsm,C,O50580,5.1.3.31
4xsm,D,O50580,5.1.3.31
4xso,A,Q8YQW3,?
4xso,B,Q8YQW3,?
4xsp,A,Q8YQW3,?
4xsp,B,Q8YQW3,?
